primaryTitle;contentType;status;contentTypeId;statusId;authorId;authorName;alternativeTitles;genreIds;tags;totalChapters;currentChapterNumber;currentChapterLabel;rating;priority;description;comment;notes;rawImportedLine;links;genres
To Be a Power in the Shadows!;Novel;Reading;;;;;;;;;133;;;;;;;1.1.To Be a Power in the Shadows! 133;"[{""Url"":""https://www.novelupdates.com/series/to-be-a-power-in-the-shadows/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Against the gods;Novel;Reading;;;;;;;;;1475;;;;;;;1.2.Against the gods 1475;"[{""Url"":""https://www.novelupdates.com/series/against-the-gods/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Great Demon King;Novel;Reading;;;;;;;;;742;;;;;;;1.3.Great Demon King 742;"[{""Url"":""https://www.novelupdates.com/series/great-demon-king/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Womanizing Mage;Novel;Reading;;;;;;;;;655;;;;;;;1.4.Womanizing Mage 655;"[{""Url"":""https://www.novelupdates.com/series/womanizing-mage/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
I Shall Seal The Heavens;Novel;Completed;;;;;;;;;1614;;9;;;;;1.5.I Shall Seal The Heavens 1614 ✓ 💯 💯;"[{""Url"":""https://www.novelupdates.com/series/i-shall-seal-the-heavens/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
My Entire Class Was Summoned to Another World except for Me;Novel;Reading;;;;;;;;;167;166;;;;;;1.6.My Entire Class Was Summoned to Another World except for Me 166 (167);"[{""Url"":""https://www.novelupdates.com/series/my-entire-class-was-summoned-to-another-world-except-for-me/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
I Have a Mansion in the Post-apocalyptic World;Novel;Reading;;;;;;;;;819;;;;;;release_frequency=~3;1.7.I Have a Mansion in the Post-apocalyptic World 819 ~3;"[{""Url"":""https://www.novelupdates.com/series/i-have-a-mansion-in-the-post-apocalyptic-world/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
My Girlfriend is a zombie;Novel;Reading;;;;;;;;;339;p1;;;;;;1.8. My Girlfriend is a zombie 339 (p1);"[{""Url"":""https://www.novelupdates.com/series/my-girlfriend-is-a-zombie/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
I'm the Evil Lord of an Intergalactic Empire!;Novel;Reading;;;;;;;;;60;;;;;;;1.9.I'm the Evil Lord of an Intergalactic Empire! 60;"[{""Url"":""https://www.novelupdates.com/series/im-the-evil-lord-of-an-intergalactic-empire/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
On the Way Home I Got a Bride and Twin Daughters, Who Were Dragons;Novel;Reading;;;;;;;;;48;;;;;;;1.10.On the Way Home I Got a Bride and Twin Daughters, Who Were Dragons 48;"[{""Url"":""https://www.novelupdates.com/series/on-the-way-home-i-got-a-bride-and-twin-daughters-who-were-dragons/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Super Soldier;Novel;Reading;;;;;;;;;110;;;;;;release_frequency=~1;1.11.Super Soldier 110 ~1;"[{""Url"":""https://www.novelupdates.com/series/super-soldier/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Everyone Else is a Returnee;Novel;Completed;;;;;;;;;348;ex4;8;;;;;1.12.Everyone Else is a Returnee 348 (ex4) ✓ 💯;"[{""Url"":""https://www.novelupdates.com/series/everyone-else-is-a-returnee/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
