primaryTitle,authorName,contentType,status,tags,totalChapters,currentChapterNumber,currentChapterLabel,rating,priority,description,notes,rawImportedLine
+99 Wooden Stick,,Manga,On Hold,,,26,,,,,,
1-nen A-gumi no Monster,,Manga,Reading,,,40,,,,,,392. 1-nen A-gumi no Monster 40
108 Maidens of destiny,,Novel,Reading,,,521,,3,,,,
1x½,,Manga,Reading,,,26,13.3,,1,,,181. 1x½ 13.3 (26) ~? 🌟
7th Garden,,Manga,Reading,,,32,,,1,,,262. 7th Garden 32 ~? 🌟
99 Ways to Become Heroes by Beauty Masters,,Manga,Reading,tag123,,40,,,,,,
99Ways to Become Heroes by Beauty Masters,,Manga,Reading,,,40,,,,,,427. 99Ways to Become Heroes by Beauty Masters 40
A Bad Person,,Manga,Reading,,,45,,,,,,473. A Bad Person 45
A Cliché Multiverse Story,,Novel,Reading,,,144,,,,,,1.82. A Cliché Multiverse Story 144
A Fairytale for the Demon Lord,,Manga,Completed,,64,64,v2,6,,,chyba skonczone,
A Harem in the Fantasy World Dungeon,,Manga,Reading,,,22,21,,1,,release_frequency=~20,139.A Harem in the Fantasy World Dungeon 21 (22) ~20 🌟
A Pervert's Daily Life,,Manhwa,Completed,h-manhwa,57,57,,9,,,no ntr,1.1.7 A Pervert's Daily Life 57 ✓ 💯 💯 (no ntr)
A Returner's Magic Should Be Special,,Manga,Reading,,,69,,,1,,,189.A Returner's Magic Should Be Special 69 ~? 🌟
A Slave Who Wants To Do Perverted Things With Her Master,,Manga,Reading,,,8,,,,,,84.A Slave Who Wants To Do Perverted Things With Her Master 8 ~?
A Stay-at-home Dad’s Restaurant In An Alternate World,,Novel,Reading,,,885,,,,,,1.108. A Stay-at-home Dad’s Restaurant In An Alternate World 885
A Story About Treating a Female Knight Who Has Never Been Treated as a Woman as a Woman,,Manga,Reading,,,64,62,,,,release_frequency=~8,106.A Story About Treating a Female Knight Who Has Never Been Treated as a Woman as a Woman 62 (64) ~8
A Wonderful New World,,Manhwa,Reading,h-manhwa,,82,,,,,,1.1.17 A Wonderful New World 82
Absolute Resonance,,Novel,Reading,,,672,,,,,,1.104. Absolute Resonance 672
Abyss Rage,,Manga,Reading,,,47,43,,,,,68.Abyss Rage 43 (47)
Academy's Second Seat,,Novel,Reading,,,61,,,,,,1.140. Academy's Second Seat 61
Academy’s Genius Swordmaster,,Novel,Reading,,,166,,,,,,1.162. Academy’s Genius Swordmaster 166
